,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG
0,Shot Chart Detail,0021500003,15,101106,Andrew Bogut,1610612744,Golden State Warriors,1,9,33,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-8,4,1,1
1,Shot Chart Detail,0021500003,34,101106,Andrew Bogut,1610612744,Golden State Warriors,1,7,29,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
2,Shot Chart Detail,0021500003,204,101106,Andrew Bogut,1610612744,Golden State Warriors,2,6,35,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-17,23,1,1
3,Shot Chart Detail,0021500003,233,101106,Andrew Bogut,1610612744,Golden State Warriors,2,3,47,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,16,1,1
4,Shot Chart Detail,0021500003,255,101106,Andrew Bogut,1610612744,Golden State Warriors,2,2,4,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,2,1,1
5,Shot Chart Detail,0021500003,286,101106,Andrew Bogut,1610612744,Golden State Warriors,3,11,10,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-14,75,1,1
6,Shot Chart Detail,0021500104,59,101106,Andrew Bogut,1610612744,Golden State Warriors,1,4,16,Missed Shot,No Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-7,21,1,0
7,Shot Chart Detail,0021500104,61,101106,Andrew Bogut,1610612744,Golden State Warriors,1,4,14,Made Shot,No Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,7,1,1
8,Shot Chart Detail,0021500104,79,101106,Andrew Bogut,1610612744,Golden State Warriors,1,3,1,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-4,61,1,1
9,Shot Chart Detail,0021500104,351,101106,Andrew Bogut,1610612744,Golden State Warriors,3,1,50,Missed Shot,No Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,4,1,0
10,Shot Chart Detail,0021500104,353,101106,Andrew Bogut,1610612744,Golden State Warriors,3,1,49,Made Shot,No Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,7,1,1
11,Shot Chart Detail,0021500104,357,101106,Andrew Bogut,1610612744,Golden State Warriors,3,1,3,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,0,1,0
12,Shot Chart Detail,0021500104,367,101106,Andrew Bogut,1610612744,Golden State Warriors,3,0,48,Made Shot,No Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,16,1,1
13,Shot Chart Detail,0021500120,118,101106,Andrew Bogut,1610612744,Golden State Warriors,1,0,0,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,74,198,1,1
14,Shot Chart Detail,0021500120,457,101106,Andrew Bogut,1610612744,Golden State Warriors,4,10,40,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-11,85,1,0
15,Shot Chart Detail,0021500120,463,101106,Andrew Bogut,1610612744,Golden State Warriors,4,9,40,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,101,190,1,0
16,Shot Chart Detail,0021500125,248,101106,Andrew Bogut,1610612744,Golden State Warriors,2,0,33,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
17,Shot Chart Detail,0021500125,284,101106,Andrew Bogut,1610612744,Golden State Warriors,3,9,13,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,19,65,1,0
18,Shot Chart Detail,0021500125,306,101106,Andrew Bogut,1610612744,Golden State Warriors,3,7,37,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,7,1,1
19,Shot Chart Detail,0021500144,74,101106,Andrew Bogut,1610612744,Golden State Warriors,1,2,11,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,7,1,1
20,Shot Chart Detail,0021500144,115,101106,Andrew Bogut,1610612744,Golden State Warriors,2,10,0,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
21,Shot Chart Detail,0021500144,347,101106,Andrew Bogut,1610612744,Golden State Warriors,4,11,17,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,22,75,1,1
22,Shot Chart Detail,0021500144,356,101106,Andrew Bogut,1610612744,Golden State Warriors,4,9,37,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-6,41,1,1
23,Shot Chart Detail,0021500144,369,101106,Andrew Bogut,1610612744,Golden State Warriors,4,7,52,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,0,92,1,0
24,Shot Chart Detail,0021500144,378,101106,Andrew Bogut,1610612744,Golden State Warriors,4,6,52,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-9,18,1,0
25,Shot Chart Detail,0021500144,496,101106,Andrew Bogut,1610612744,Golden State Warriors,5,4,33,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
26,Shot Chart Detail,0021500164,151,101106,Andrew Bogut,1610612744,Golden State Warriors,2,9,36,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,-1,1,0
27,Shot Chart Detail,0021500164,163,101106,Andrew Bogut,1610612744,Golden State Warriors,2,8,15,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,68,31,1,1
28,Shot Chart Detail,0021500164,254,101106,Andrew Bogut,1610612744,Golden State Warriors,3,9,59,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
29,Shot Chart Detail,0021500164,257,101106,Andrew Bogut,1610612744,Golden State Warriors,3,9,25,Made Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
30,Shot Chart Detail,0021500164,262,101106,Andrew Bogut,1610612744,Golden State Warriors,3,8,30,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
31,Shot Chart Detail,0021500164,460,101106,Andrew Bogut,1610612744,Golden State Warriors,4,5,48,Made Shot,Running Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
32,Shot Chart Detail,0021500177,4,101106,Andrew Bogut,1610612744,Golden State Warriors,1,11,37,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-147,151,1,0
33,Shot Chart Detail,0021500177,266,101106,Andrew Bogut,1610612744,Golden State Warriors,2,0,46,Missed Shot,Reverse Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-20,36,1,0
34,Shot Chart Detail,0021500177,317,101106,Andrew Bogut,1610612744,Golden State Warriors,3,9,10,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-11,23,1,1
35,Shot Chart Detail,0021500187,163,101106,Andrew Bogut,1610612744,Golden State Warriors,2,4,42,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,10,67,1,0
36,Shot Chart Detail,0021500187,177,101106,Andrew Bogut,1610612744,Golden State Warriors,2,3,37,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,7,1,1
37,Shot Chart Detail,0021500200,2,101106,Andrew Bogut,1610612744,Golden State Warriors,1,11,44,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-40,7,1,1
38,Shot Chart Detail,0021500200,14,101106,Andrew Bogut,1610612744,Golden State Warriors,1,9,52,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
39,Shot Chart Detail,0021500200,56,101106,Andrew Bogut,1610612744,Golden State Warriors,1,5,45,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,0,46,1,1
40,Shot Chart Detail,0021500200,65,101106,Andrew Bogut,1610612744,Golden State Warriors,1,4,59,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,2,1,0
41,Shot Chart Detail,0021500200,68,101106,Andrew Bogut,1610612744,Golden State Warriors,1,4,51,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
42,Shot Chart Detail,0021500214,20,101106,Andrew Bogut,1610612744,Golden State Warriors,1,9,45,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,66,31,1,0
43,Shot Chart Detail,0021500214,173,101106,Andrew Bogut,1610612744,Golden State Warriors,2,6,17,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-12,70,1,0
44,Shot Chart Detail,0021500214,183,101106,Andrew Bogut,1610612744,Golden State Warriors,2,5,52,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
45,Shot Chart Detail,0021500214,196,101106,Andrew Bogut,1610612744,Golden State Warriors,2,4,11,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
46,Shot Chart Detail,0021500214,238,101106,Andrew Bogut,1610612744,Golden State Warriors,3,11,23,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
47,Shot Chart Detail,0021500214,245,101106,Andrew Bogut,1610612744,Golden State Warriors,3,10,45,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
48,Shot Chart Detail,0021500214,255,101106,Andrew Bogut,1610612744,Golden State Warriors,3,9,45,Missed Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,68,72,1,0
49,Shot Chart Detail,0021500236,2,101106,Andrew Bogut,1610612744,Golden State Warriors,1,11,43,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-45,21,1,0
50,Shot Chart Detail,0021500236,6,101106,Andrew Bogut,1610612744,Golden State Warriors,1,11,17,Made Shot,Hook Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,60,2,1,1
51,Shot Chart Detail,0021500236,36,101106,Andrew Bogut,1610612744,Golden State Warriors,1,7,55,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-19,16,1,1
52,Shot Chart Detail,0021500236,46,101106,Andrew Bogut,1610612744,Golden State Warriors,1,6,46,Made Shot,Running Alley Oop Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,2,1,1
53,Shot Chart Detail,0021500236,295,101106,Andrew Bogut,1610612744,Golden State Warriors,3,9,27,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-63,43,1,0
54,Shot Chart Detail,0021500245,25,101106,Andrew Bogut,1610612744,Golden State Warriors,1,8,40,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-1,101,1,0
55,Shot Chart Detail,0021500245,246,101106,Andrew Bogut,1610612744,Golden State Warriors,2,1,30,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
56,Shot Chart Detail,0021500245,330,101106,Andrew Bogut,1610612744,Golden State Warriors,3,5,7,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,11,1,1
57,Shot Chart Detail,0021500259,37,101106,Andrew Bogut,1610612744,Golden State Warriors,1,7,55,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,2,1,1
58,Shot Chart Detail,0021500259,398,101106,Andrew Bogut,1610612744,Golden State Warriors,4,9,4,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,0,1,1
59,Shot Chart Detail,0021500268,55,101106,Andrew Bogut,1610612744,Golden State Warriors,1,6,21,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,8,1,1
60,Shot Chart Detail,0021500268,245,101106,Andrew Bogut,1610612744,Golden State Warriors,2,1,0,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,3,1,1
61,Shot Chart Detail,0021500300,38,101106,Andrew Bogut,1610612744,Golden State Warriors,1,8,8,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-2,61,1,0
62,Shot Chart Detail,0021500314,29,101106,Andrew Bogut,1610612744,Golden State Warriors,1,9,24,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,1,1,1
63,Shot Chart Detail,0021500314,85,101106,Andrew Bogut,1610612744,Golden State Warriors,1,4,51,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,2,1,1
64,Shot Chart Detail,0021500314,94,101106,Andrew Bogut,1610612744,Golden State Warriors,1,3,34,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,2,1,1
65,Shot Chart Detail,0021500314,275,101106,Andrew Bogut,1610612744,Golden State Warriors,3,11,9,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
66,Shot Chart Detail,0021500314,278,101106,Andrew Bogut,1610612744,Golden State Warriors,3,10,32,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
67,Shot Chart Detail,0021500314,283,101106,Andrew Bogut,1610612744,Golden State Warriors,3,9,46,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
68,Shot Chart Detail,0021500314,305,101106,Andrew Bogut,1610612744,Golden State Warriors,3,7,31,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,3,1,0
69,Shot Chart Detail,0021500314,336,101106,Andrew Bogut,1610612744,Golden State Warriors,3,4,27,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,7,1,1
70,Shot Chart Detail,0021500336,11,101106,Andrew Bogut,1610612744,Golden State Warriors,1,10,32,Missed Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,0
71,Shot Chart Detail,0021500336,187,101106,Andrew Bogut,1610612744,Golden State Warriors,2,6,21,Missed Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,7,1,0
72,Shot Chart Detail,0021500336,288,101106,Andrew Bogut,1610612744,Golden State Warriors,3,10,56,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-43,82,1,1
73,Shot Chart Detail,0021500336,333,101106,Andrew Bogut,1610612744,Golden State Warriors,3,6,56,Missed Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,89,36,1,0
74,Shot Chart Detail,0021500336,660,101106,Andrew Bogut,1610612744,Golden State Warriors,6,3,30,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,10,76,65,1,0
75,Shot Chart Detail,0021500351,9,101106,Andrew Bogut,1610612744,Golden State Warriors,1,11,1,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
76,Shot Chart Detail,0021500351,40,101106,Andrew Bogut,1610612744,Golden State Warriors,1,10,27,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,44,9,1,0
77,Shot Chart Detail,0021500351,261,101106,Andrew Bogut,1610612744,Golden State Warriors,2,0,10,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-17,11,1,0
78,Shot Chart Detail,0021500434,11,101106,Andrew Bogut,1610612744,Golden State Warriors,1,10,11,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,16,1,0
79,Shot Chart Detail,0021500434,59,101106,Andrew Bogut,1610612744,Golden State Warriors,1,4,54,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,11,1,0
80,Shot Chart Detail,0021500434,173,101106,Andrew Bogut,1610612744,Golden State Warriors,2,5,39,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-19,21,1,1
81,Shot Chart Detail,0021500434,185,101106,Andrew Bogut,1610612744,Golden State Warriors,2,3,48,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,2,56,1,0
82,Shot Chart Detail,0021500434,206,101106,Andrew Bogut,1610612744,Golden State Warriors,2,1,47,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,14,61,1,1
